id,case_name,url,last_name,expected_text,match_mode,scenario_type,expected_result
419,SearchNonExistingOwner_Case_419,http://localhost:8080/owners/find,TestOwner419ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
420,SearchNonExistingOwner_Case_420,http://localhost:8080/owners/find,Unknown420,has not been found,case_insensitive_contains,standard_missing_name,not_found
421,SearchNonExistingOwner_Case_421,http://localhost:8080/owners/find,NoOwner421,has not been found,case_insensitive_contains,unique_name,not_found
422,SearchNonExistingOwner_Case_422,http://localhost:8080/owners/find,ZZZ422,has not been found,case_insensitive_contains,uppercase_name,not_found
423,SearchNonExistingOwner_Case_423,http://localhost:8080/owners/find,nouser423,has not been found,case_insensitive_contains,lowercase_name,not_found
424,SearchNonExistingOwner_Case_424,http://localhost:8080/owners/find,Missing-Owner-424,has not been found,case_insensitive_contains,hyphenated_name,not_found
425,SearchNonExistingOwner_Case_425,http://localhost:8080/owners/find,Owner_425,has not been found,case_insensitive_contains,underscore_name,not_found
426,SearchNonExistingOwner_Case_426,http://localhost:8080/owners/find,900426,has not been found,case_insensitive_contains,numeric_name,not_found
427,SearchNonExistingOwner_Case_427,http://localhost:8080/owners/find,X427Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
428,SearchNonExistingOwner_Case_428,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName428,has not been found,case_insensitive_contains,long_name,not_found
429,SearchNonExistingOwner_Case_429,http://localhost:8080/owners/find,TestOwner429ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
430,SearchNonExistingOwner_Case_430,http://localhost:8080/owners/find,Unknown430,has not been found,case_insensitive_contains,standard_missing_name,not_found
431,SearchNonExistingOwner_Case_431,http://localhost:8080/owners/find,NoOwner431,has not been found,case_insensitive_contains,unique_name,not_found
432,SearchNonExistingOwner_Case_432,http://localhost:8080/owners/find,ZZZ432,has not been found,case_insensitive_contains,uppercase_name,not_found
433,SearchNonExistingOwner_Case_433,http://localhost:8080/owners/find,nouser433,has not been found,case_insensitive_contains,lowercase_name,not_found
434,SearchNonExistingOwner_Case_434,http://localhost:8080/owners/find,Missing-Owner-434,has not been found,case_insensitive_contains,hyphenated_name,not_found
435,SearchNonExistingOwner_Case_435,http://localhost:8080/owners/find,Owner_435,has not been found,case_insensitive_contains,underscore_name,not_found
436,SearchNonExistingOwner_Case_436,http://localhost:8080/owners/find,900436,has not been found,case_insensitive_contains,numeric_name,not_found
437,SearchNonExistingOwner_Case_437,http://localhost:8080/owners/find,X437Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
438,SearchNonExistingOwner_Case_438,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName438,has not been found,case_insensitive_contains,long_name,not_found
439,SearchNonExistingOwner_Case_439,http://localhost:8080/owners/find,TestOwner439ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
440,SearchNonExistingOwner_Case_440,http://localhost:8080/owners/find,Unknown440,has not been found,case_insensitive_contains,standard_missing_name,not_found
441,SearchNonExistingOwner_Case_441,http://localhost:8080/owners/find,NoOwner441,has not been found,case_insensitive_contains,unique_name,not_found
442,SearchNonExistingOwner_Case_442,http://localhost:8080/owners/find,ZZZ442,has not been found,case_insensitive_contains,uppercase_name,not_found
443,SearchNonExistingOwner_Case_443,http://localhost:8080/owners/find,nouser443,has not been found,case_insensitive_contains,lowercase_name,not_found
444,SearchNonExistingOwner_Case_444,http://localhost:8080/owners/find,Missing-Owner-444,has not been found,case_insensitive_contains,hyphenated_name,not_found
445,SearchNonExistingOwner_Case_445,http://localhost:8080/owners/find,Owner_445,has not been found,case_insensitive_contains,underscore_name,not_found
446,SearchNonExistingOwner_Case_446,http://localhost:8080/owners/find,900446,has not been found,case_insensitive_contains,numeric_name,not_found
447,SearchNonExistingOwner_Case_447,http://localhost:8080/owners/find,X447Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
448,SearchNonExistingOwner_Case_448,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName448,has not been found,case_insensitive_contains,long_name,not_found
449,SearchNonExistingOwner_Case_449,http://localhost:8080/owners/find,TestOwner449ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
450,SearchNonExistingOwner_Case_450,http://localhost:8080/owners/find,Unknown450,has not been found,case_insensitive_contains,standard_missing_name,not_found
451,SearchNonExistingOwner_Case_451,http://localhost:8080/owners/find,NoOwner451,has not been found,case_insensitive_contains,unique_name,not_found
452,SearchNonExistingOwner_Case_452,http://localhost:8080/owners/find,ZZZ452,has not been found,case_insensitive_contains,uppercase_name,not_found
453,SearchNonExistingOwner_Case_453,http://localhost:8080/owners/find,nouser453,has not been found,case_insensitive_contains,lowercase_name,not_found
454,SearchNonExistingOwner_Case_454,http://localhost:8080/owners/find,Missing-Owner-454,has not been found,case_insensitive_contains,hyphenated_name,not_found
455,SearchNonExistingOwner_Case_455,http://localhost:8080/owners/find,Owner_455,has not been found,case_insensitive_contains,underscore_name,not_found
456,SearchNonExistingOwner_Case_456,http://localhost:8080/owners/find,900456,has not been found,case_insensitive_contains,numeric_name,not_found
457,SearchNonExistingOwner_Case_457,http://localhost:8080/owners/find,X457Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
458,SearchNonExistingOwner_Case_458,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName458,has not been found,case_insensitive_contains,long_name,not_found
459,SearchNonExistingOwner_Case_459,http://localhost:8080/owners/find,TestOwner459ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
460,SearchNonExistingOwner_Case_460,http://localhost:8080/owners/find,Unknown460,has not been found,case_insensitive_contains,standard_missing_name,not_found
461,SearchNonExistingOwner_Case_461,http://localhost:8080/owners/find,NoOwner461,has not been found,case_insensitive_contains,unique_name,not_found
462,SearchNonExistingOwner_Case_462,http://localhost:8080/owners/find,ZZZ462,has not been found,case_insensitive_contains,uppercase_name,not_found
463,SearchNonExistingOwner_Case_463,http://localhost:8080/owners/find,nouser463,has not been found,case_insensitive_contains,lowercase_name,not_found
464,SearchNonExistingOwner_Case_464,http://localhost:8080/owners/find,Missing-Owner-464,has not been found,case_insensitive_contains,hyphenated_name,not_found
465,SearchNonExistingOwner_Case_465,http://localhost:8080/owners/find,Owner_465,has not been found,case_insensitive_contains,underscore_name,not_found
466,SearchNonExistingOwner_Case_466,http://localhost:8080/owners/find,900466,has not been found,case_insensitive_contains,numeric_name,not_found
467,SearchNonExistingOwner_Case_467,http://localhost:8080/owners/find,X467Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
468,SearchNonExistingOwner_Case_468,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName468,has not been found,case_insensitive_contains,long_name,not_found
469,SearchNonExistingOwner_Case_469,http://localhost:8080/owners/find,TestOwner469ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
470,SearchNonExistingOwner_Case_470,http://localhost:8080/owners/find,Unknown470,has not been found,case_insensitive_contains,standard_missing_name,not_found
471,SearchNonExistingOwner_Case_471,http://localhost:8080/owners/find,NoOwner471,has not been found,case_insensitive_contains,unique_name,not_found
472,SearchNonExistingOwner_Case_472,http://localhost:8080/owners/find,ZZZ472,has not been found,case_insensitive_contains,uppercase_name,not_found
473,SearchNonExistingOwner_Case_473,http://localhost:8080/owners/find,nouser473,has not been found,case_insensitive_contains,lowercase_name,not_found
474,SearchNonExistingOwner_Case_474,http://localhost:8080/owners/find,Missing-Owner-474,has not been found,case_insensitive_contains,hyphenated_name,not_found
475,SearchNonExistingOwner_Case_475,http://localhost:8080/owners/find,Owner_475,has not been found,case_insensitive_contains,underscore_name,not_found
476,SearchNonExistingOwner_Case_476,http://localhost:8080/owners/find,900476,has not been found,case_insensitive_contains,numeric_name,not_found
477,SearchNonExistingOwner_Case_477,http://localhost:8080/owners/find,X477Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
478,SearchNonExistingOwner_Case_478,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName478,has not been found,case_insensitive_contains,long_name,not_found
479,SearchNonExistingOwner_Case_479,http://localhost:8080/owners/find,TestOwner479ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
480,SearchNonExistingOwner_Case_480,http://localhost:8080/owners/find,Unknown480,has not been found,case_insensitive_contains,standard_missing_name,not_found
481,SearchNonExistingOwner_Case_481,http://localhost:8080/owners/find,NoOwner481,has not been found,case_insensitive_contains,unique_name,not_found
482,SearchNonExistingOwner_Case_482,http://localhost:8080/owners/find,ZZZ482,has not been found,case_insensitive_contains,uppercase_name,not_found
483,SearchNonExistingOwner_Case_483,http://localhost:8080/owners/find,nouser483,has not been found,case_insensitive_contains,lowercase_name,not_found
484,SearchNonExistingOwner_Case_484,http://localhost:8080/owners/find,Missing-Owner-484,has not been found,case_insensitive_contains,hyphenated_name,not_found
485,SearchNonExistingOwner_Case_485,http://localhost:8080/owners/find,Owner_485,has not been found,case_insensitive_contains,underscore_name,not_found
486,SearchNonExistingOwner_Case_486,http://localhost:8080/owners/find,900486,has not been found,case_insensitive_contains,numeric_name,not_found
487,SearchNonExistingOwner_Case_487,http://localhost:8080/owners/find,X487Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
488,SearchNonExistingOwner_Case_488,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName488,has not been found,case_insensitive_contains,long_name,not_found
489,SearchNonExistingOwner_Case_489,http://localhost:8080/owners/find,TestOwner489ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
490,SearchNonExistingOwner_Case_490,http://localhost:8080/owners/find,Unknown490,has not been found,case_insensitive_contains,standard_missing_name,not_found
491,SearchNonExistingOwner_Case_491,http://localhost:8080/owners/find,NoOwner491,has not been found,case_insensitive_contains,unique_name,not_found
492,SearchNonExistingOwner_Case_492,http://localhost:8080/owners/find,ZZZ492,has not been found,case_insensitive_contains,uppercase_name,not_found
493,SearchNonExistingOwner_Case_493,http://localhost:8080/owners/find,nouser493,has not been found,case_insensitive_contains,lowercase_name,not_found
494,SearchNonExistingOwner_Case_494,http://localhost:8080/owners/find,Missing-Owner-494,has not been found,case_insensitive_contains,hyphenated_name,not_found
495,SearchNonExistingOwner_Case_495,http://localhost:8080/owners/find,Owner_495,has not been found,case_insensitive_contains,underscore_name,not_found
496,SearchNonExistingOwner_Case_496,http://localhost:8080/owners/find,900496,has not been found,case_insensitive_contains,numeric_name,not_found
497,SearchNonExistingOwner_Case_497,http://localhost:8080/owners/find,X497Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
498,SearchNonExistingOwner_Case_498,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName498,has not been found,case_insensitive_contains,long_name,not_found
499,SearchNonExistingOwner_Case_499,http://localhost:8080/owners/find,TestOwner499ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
500,SearchNonExistingOwner_Case_500,http://localhost:8080/owners/find,Unknown500,has not been found,case_insensitive_contains,standard_missing_name,not_found
