id,case_name,url,owner_id,pet_id,pet_name,birth_date,pet_type,expected_text,scenario_type,expected_result
617,EditPet_Case_617,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet617,2016-10-31,lizard,EditedPet617,change_birth_date,success
618,EditPet_Case_618,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet618,2016-11-19,snake,EditedPet618,change_pet_type,success
619,EditPet_Case_619,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet619,2016-12-08,bird,EditedPet619,update_all_fields,success
620,EditPet_Case_620,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet620,2016-12-27,cat,EditedPet620,boundary_name_length,success
621,EditPet_Case_621,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet621,2017-01-15,dog,EditedPet621,rename_pet,success
622,EditPet_Case_622,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet622,2017-02-03,hamster,EditedPet622,change_birth_date,success
623,EditPet_Case_623,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet623,2017-02-22,lizard,EditedPet623,change_pet_type,success
624,EditPet_Case_624,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet624,2017-03-13,snake,EditedPet624,update_all_fields,success
625,EditPet_Case_625,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet625,2017-04-01,bird,EditedPet625,boundary_name_length,success
626,EditPet_Case_626,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet626,2017-04-20,cat,EditedPet626,rename_pet,success
627,EditPet_Case_627,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet627,2017-05-09,dog,EditedPet627,change_birth_date,success
628,EditPet_Case_628,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet628,2017-05-28,hamster,EditedPet628,change_pet_type,success
629,EditPet_Case_629,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet629,2017-06-16,lizard,EditedPet629,update_all_fields,success
630,EditPet_Case_630,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet630,2017-07-05,snake,EditedPet630,boundary_name_length,success
631,EditPet_Case_631,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet631,2017-07-24,bird,EditedPet631,rename_pet,success
632,EditPet_Case_632,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet632,2017-08-12,cat,EditedPet632,change_birth_date,success
633,EditPet_Case_633,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet633,2017-08-31,dog,EditedPet633,change_pet_type,success
634,EditPet_Case_634,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet634,2017-09-19,hamster,EditedPet634,update_all_fields,success
635,EditPet_Case_635,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet635,2017-10-08,lizard,EditedPet635,boundary_name_length,success
636,EditPet_Case_636,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet636,2017-10-27,snake,EditedPet636,rename_pet,success
637,EditPet_Case_637,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet637,2017-11-15,bird,EditedPet637,change_birth_date,success
638,EditPet_Case_638,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet638,2017-12-04,cat,EditedPet638,change_pet_type,success
639,EditPet_Case_639,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet639,2017-12-23,dog,EditedPet639,update_all_fields,success
640,EditPet_Case_640,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet640,2018-01-11,hamster,EditedPet640,boundary_name_length,success
641,EditPet_Case_641,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet641,2018-01-30,lizard,EditedPet641,rename_pet,success
642,EditPet_Case_642,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet642,2018-02-18,snake,EditedPet642,change_birth_date,success
643,EditPet_Case_643,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet643,2018-03-09,bird,EditedPet643,change_pet_type,success
644,EditPet_Case_644,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet644,2018-03-28,cat,EditedPet644,update_all_fields,success
645,EditPet_Case_645,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet645,2018-04-16,dog,EditedPet645,boundary_name_length,success
646,EditPet_Case_646,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet646,2018-05-05,hamster,EditedPet646,rename_pet,success
647,EditPet_Case_647,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet647,2018-05-24,lizard,EditedPet647,change_birth_date,success
648,EditPet_Case_648,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet648,2018-06-12,snake,EditedPet648,change_pet_type,success
649,EditPet_Case_649,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet649,2018-07-01,bird,EditedPet649,update_all_fields,success
650,EditPet_Case_650,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet650,2018-07-20,cat,EditedPet650,boundary_name_length,success
651,EditPet_Case_651,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet651,2018-08-08,dog,EditedPet651,rename_pet,success
652,EditPet_Case_652,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet652,2018-08-27,hamster,EditedPet652,change_birth_date,success
653,EditPet_Case_653,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet653,2018-09-15,lizard,EditedPet653,change_pet_type,success
654,EditPet_Case_654,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet654,2018-10-04,snake,EditedPet654,update_all_fields,success
655,EditPet_Case_655,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet655,2018-10-23,bird,EditedPet655,boundary_name_length,success
656,EditPet_Case_656,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet656,2018-11-11,cat,EditedPet656,rename_pet,success
657,EditPet_Case_657,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet657,2018-11-30,dog,EditedPet657,change_birth_date,success
658,EditPet_Case_658,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet658,2018-12-19,hamster,EditedPet658,change_pet_type,success
659,EditPet_Case_659,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet659,2019-01-07,lizard,EditedPet659,update_all_fields,success
660,EditPet_Case_660,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet660,2019-01-26,snake,EditedPet660,boundary_name_length,success
661,EditPet_Case_661,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet661,2019-02-14,bird,EditedPet661,rename_pet,success
662,EditPet_Case_662,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet662,2019-03-05,cat,EditedPet662,change_birth_date,success
663,EditPet_Case_663,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet663,2019-03-24,dog,EditedPet663,change_pet_type,success
664,EditPet_Case_664,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet664,2019-04-12,hamster,EditedPet664,update_all_fields,success
665,EditPet_Case_665,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet665,2019-05-01,lizard,EditedPet665,boundary_name_length,success
666,EditPet_Case_666,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet666,2019-05-20,snake,EditedPet666,rename_pet,success
667,EditPet_Case_667,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet667,2019-06-08,bird,EditedPet667,change_birth_date,success
668,EditPet_Case_668,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet668,2019-06-27,cat,EditedPet668,change_pet_type,success
669,EditPet_Case_669,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet669,2019-07-16,dog,EditedPet669,update_all_fields,success
670,EditPet_Case_670,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet670,2019-08-04,hamster,EditedPet670,boundary_name_length,success
671,EditPet_Case_671,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet671,2019-08-23,lizard,EditedPet671,rename_pet,success
672,EditPet_Case_672,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet672,2019-09-11,snake,EditedPet672,change_birth_date,success
673,EditPet_Case_673,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet673,2019-09-30,bird,EditedPet673,change_pet_type,success
674,EditPet_Case_674,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet674,2019-10-19,cat,EditedPet674,update_all_fields,success
675,EditPet_Case_675,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet675,2019-11-07,dog,EditedPet675,boundary_name_length,success
676,EditPet_Case_676,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet676,2019-11-26,hamster,EditedPet676,rename_pet,success
677,EditPet_Case_677,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet677,2019-12-15,lizard,EditedPet677,change_birth_date,success
678,EditPet_Case_678,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet678,2020-01-03,snake,EditedPet678,change_pet_type,success
679,EditPet_Case_679,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet679,2020-01-22,bird,EditedPet679,update_all_fields,success
680,EditPet_Case_680,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet680,2020-02-10,cat,EditedPet680,boundary_name_length,success
681,EditPet_Case_681,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet681,2020-02-29,dog,EditedPet681,rename_pet,success
682,EditPet_Case_682,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet682,2020-03-19,hamster,EditedPet682,change_birth_date,success
683,EditPet_Case_683,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet683,2020-04-07,lizard,EditedPet683,change_pet_type,success
684,EditPet_Case_684,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet684,2020-04-26,snake,EditedPet684,update_all_fields,success
685,EditPet_Case_685,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet685,2020-05-15,bird,EditedPet685,boundary_name_length,success
686,EditPet_Case_686,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet686,2020-06-03,cat,EditedPet686,rename_pet,success
687,EditPet_Case_687,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet687,2020-06-22,dog,EditedPet687,change_birth_date,success
688,EditPet_Case_688,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet688,2020-07-11,hamster,EditedPet688,change_pet_type,success
689,EditPet_Case_689,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet689,2020-07-30,lizard,EditedPet689,update_all_fields,success
690,EditPet_Case_690,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet690,2020-08-18,snake,EditedPet690,boundary_name_length,success
691,EditPet_Case_691,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet691,2020-09-06,bird,EditedPet691,rename_pet,success
692,EditPet_Case_692,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet692,2020-09-25,cat,EditedPet692,change_birth_date,success
693,EditPet_Case_693,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet693,2020-10-14,dog,EditedPet693,change_pet_type,success
694,EditPet_Case_694,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet694,2020-11-02,hamster,EditedPet694,update_all_fields,success
695,EditPet_Case_695,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet695,2020-11-21,lizard,EditedPet695,boundary_name_length,success
696,EditPet_Case_696,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet696,2020-12-10,snake,EditedPet696,rename_pet,success
697,EditPet_Case_697,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet697,2020-12-29,bird,EditedPet697,change_birth_date,success
698,EditPet_Case_698,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet698,2021-01-17,cat,EditedPet698,change_pet_type,success
699,EditPet_Case_699,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet699,2021-02-05,dog,EditedPet699,update_all_fields,success
700,EditPet_Case_700,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet700,2021-02-24,hamster,EditedPet700,boundary_name_length,success
