id,case_name,url,expected_title,expected_message,match_mode,scenario_type,expected_result
927,ErrorPage_Case_927,http://localhost:8080/oups?case=927,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
928,ErrorPage_Case_928,http://localhost:8080/oups?case=928,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
929,ErrorPage_Case_929,http://localhost:8080/oups?case=929,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
930,ErrorPage_Case_930,http://localhost:8080/oups?case=930,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
931,ErrorPage_Case_931,http://localhost:8080/oups?case=931,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
932,ErrorPage_Case_932,http://localhost:8080/oups?case=932,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
933,ErrorPage_Case_933,http://localhost:8080/oups?case=933,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
934,ErrorPage_Case_934,http://localhost:8080/oups?case=934,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
935,ErrorPage_Case_935,http://localhost:8080/oups?case=935,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
936,ErrorPage_Case_936,http://localhost:8080/oups?case=936,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
937,ErrorPage_Case_937,http://localhost:8080/oups?case=937,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
938,ErrorPage_Case_938,http://localhost:8080/oups?case=938,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
939,ErrorPage_Case_939,http://localhost:8080/oups?case=939,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
940,ErrorPage_Case_940,http://localhost:8080/oups?case=940,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
941,ErrorPage_Case_941,http://localhost:8080/oups?case=941,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
942,ErrorPage_Case_942,http://localhost:8080/oups?case=942,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
943,ErrorPage_Case_943,http://localhost:8080/oups?case=943,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
944,ErrorPage_Case_944,http://localhost:8080/oups?case=944,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
945,ErrorPage_Case_945,http://localhost:8080/oups?case=945,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
946,ErrorPage_Case_946,http://localhost:8080/oups?case=946,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
947,ErrorPage_Case_947,http://localhost:8080/oups?case=947,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
948,ErrorPage_Case_948,http://localhost:8080/oups?case=948,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
949,ErrorPage_Case_949,http://localhost:8080/oups?case=949,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
950,ErrorPage_Case_950,http://localhost:8080/oups?case=950,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
951,ErrorPage_Case_951,http://localhost:8080/oups?case=951,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
952,ErrorPage_Case_952,http://localhost:8080/oups?case=952,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
953,ErrorPage_Case_953,http://localhost:8080/oups?case=953,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
954,ErrorPage_Case_954,http://localhost:8080/oups?case=954,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
955,ErrorPage_Case_955,http://localhost:8080/oups?case=955,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
956,ErrorPage_Case_956,http://localhost:8080/oups?case=956,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
957,ErrorPage_Case_957,http://localhost:8080/oups?case=957,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
958,ErrorPage_Case_958,http://localhost:8080/oups?case=958,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
959,ErrorPage_Case_959,http://localhost:8080/oups?case=959,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
960,ErrorPage_Case_960,http://localhost:8080/oups?case=960,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
961,ErrorPage_Case_961,http://localhost:8080/oups?case=961,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
962,ErrorPage_Case_962,http://localhost:8080/oups?case=962,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
963,ErrorPage_Case_963,http://localhost:8080/oups?case=963,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
964,ErrorPage_Case_964,http://localhost:8080/oups?case=964,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
965,ErrorPage_Case_965,http://localhost:8080/oups?case=965,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
966,ErrorPage_Case_966,http://localhost:8080/oups?case=966,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
967,ErrorPage_Case_967,http://localhost:8080/oups?case=967,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
968,ErrorPage_Case_968,http://localhost:8080/oups?case=968,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
969,ErrorPage_Case_969,http://localhost:8080/oups?case=969,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
970,ErrorPage_Case_970,http://localhost:8080/oups?case=970,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
971,ErrorPage_Case_971,http://localhost:8080/oups?case=971,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
972,ErrorPage_Case_972,http://localhost:8080/oups?case=972,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
973,ErrorPage_Case_973,http://localhost:8080/oups?case=973,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
974,ErrorPage_Case_974,http://localhost:8080/oups?case=974,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
975,ErrorPage_Case_975,http://localhost:8080/oups?case=975,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
976,ErrorPage_Case_976,http://localhost:8080/oups?case=976,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
977,ErrorPage_Case_977,http://localhost:8080/oups?case=977,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
978,ErrorPage_Case_978,http://localhost:8080/oups?case=978,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
979,ErrorPage_Case_979,http://localhost:8080/oups?case=979,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
980,ErrorPage_Case_980,http://localhost:8080/oups?case=980,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
981,ErrorPage_Case_981,http://localhost:8080/oups?case=981,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
982,ErrorPage_Case_982,http://localhost:8080/oups?case=982,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
983,ErrorPage_Case_983,http://localhost:8080/oups?case=983,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
984,ErrorPage_Case_984,http://localhost:8080/oups?case=984,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
985,ErrorPage_Case_985,http://localhost:8080/oups?case=985,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
986,ErrorPage_Case_986,http://localhost:8080/oups?case=986,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
987,ErrorPage_Case_987,http://localhost:8080/oups?case=987,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
988,ErrorPage_Case_988,http://localhost:8080/oups?case=988,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
989,ErrorPage_Case_989,http://localhost:8080/oups?case=989,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
990,ErrorPage_Case_990,http://localhost:8080/oups?case=990,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
991,ErrorPage_Case_991,http://localhost:8080/oups?case=991,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
992,ErrorPage_Case_992,http://localhost:8080/oups?case=992,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
993,ErrorPage_Case_993,http://localhost:8080/oups?case=993,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
994,ErrorPage_Case_994,http://localhost:8080/oups?case=994,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
995,ErrorPage_Case_995,http://localhost:8080/oups?case=995,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
996,ErrorPage_Case_996,http://localhost:8080/oups?case=996,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
997,ErrorPage_Case_997,http://localhost:8080/oups?case=997,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
998,ErrorPage_Case_998,http://localhost:8080/oups?case=998,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
999,ErrorPage_Case_999,http://localhost:8080/oups?case=999,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
1000,ErrorPage_Case_1000,http://localhost:8080/oups?case=1000,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
